DATAFLOW,SEXP: Sex,PCHAR: Selected person characteristic,REGION: Region,REGION_TYPE: Region Type,STATE: State,TIME_PERIOD: Time Period,OBS_VALUE
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2338: 2338,POA: Postal Areas,1: New South Wales,2021,1403
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4751: 4751,POA: Postal Areas,3: Queensland,2021,4681
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5372: 5372,POA: Postal Areas,4: South Australia,2021,2688
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,0800: 0800,POA: Postal Areas,7: Northern Territory,2021,7149
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2044: 2044,POA: Postal Areas,1: New South Wales,2021,8278
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2733: 2733,POA: Postal Areas,1: New South Wales,2021,598
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2900: 2900,POA: Postal Areas,8: Australian Capital Territory,2021,4177
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3385: 3385,POA: Postal Areas,2: Victoria,2021,541
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6302: 6302,POA: Postal Areas,5: Western Australia,2021,3485
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2533: 2533,POA: Postal Areas,1: New South Wales,2021,17177
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4225: 4225,POA: Postal Areas,3: Queensland,2021,8374
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4428: 4428,POA: Postal Areas,3: Queensland,2021,627
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5137: 5137,POA: Postal Areas,4: South Australia,2021,550
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6460: 6460,POA: Postal Areas,5: Western Australia,2021,688
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2873: 2873,POA: Postal Areas,1: New South Wales,2021,560
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3825: 3825,POA: Postal Areas,2: Victoria,2021,21078
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,7292: 7292,POA: Postal Areas,6: Tasmania,2021,655
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2456: 2456,POA: Postal Areas,1: New South Wales,2021,17141
