Postcode,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household,People with Mental Health Conditions,Total People,State
2176,25976,1934,746,13,20,387,1987,12333,11209,3012,731,6227,14404,4710,475,3943,310,2440,50022,1: New South Wales
2177,8034,1248,409,8,6,377,915,4393,3630,840,182,1863,4548,2335,190,1532,109,818,17154,1: New South Wales
2178,2138,47,49,0,0,40,135,488,967,436,192,552,1079,262,38,313,59,212,4170,1: New South Wales
2179,8992,273,101,194,14,193,670,1818,5827,998,194,2386,4958,939,115,1433,128,644,16262,1: New South Wales
2190,9610,4268,992,50,112,1180,2494,7288,4533,1236,347,2614,8310,2689,191,3500,290,1379,27559,1: New South Wales
2191,2912,1035,392,22,15,321,1450,1895,922,305,78,1016,1965,708,77,1221,106,322,6555,1: New South Wales
2192,4167,916,4394,30,56,874,5831,3267,1425,308,141,2484,3710,1806,245,3400,563,715,13781,1: New South Wales
2193,6190,1128,5785,202,42,1996,7363,4584,1945,543,119,4604,5124,1780,284,4131,1007,1220,17778,1: New South Wales
2194,3937,1921,12150,32,166,2322,15447,4209,1683,548,211,6225,6958,3127,701,5971,2152,1094,26132,1: New South Wales
2195,4302,721,10908,38,118,1102,14718,3603,1231,430,154,3147,9437,2356,480,4578,1869,1069,27103,1: New South Wales
2196,11705,3524,4571,182,121,1158,7707,8396,4656,1238,324,4105,9983,3584,449,5181,849,1557,33743,1: New South Wales
2197,3957,1115,411,11,118,293,681,2549,1932,471,88,1039,2769,1091,94,1195,106,490,10121,1: New South Wales
2198,4687,591,157,27,6,46,467,2640,1934,576,82,1232,2657,933,81,895,66,411,9843,1: New South Wales
2199,7366,1715,2258,32,126,855,3508,4587,2998,742,197,2275,5549,2187,197,2886,300,968,19651,1: New South Wales
2200,11221,4410,12963,266,223,1862,16596,10355,5724,1585,530,6824,14780,6057,743,7989,1421,2082,48003,1: New South Wales
2203,3455,1301,6826,365,240,2639,8015,3524,1137,247,90,4006,3521,1538,190,5885,1078,1629,13946,1: New South Wales
2204,6788,3881,10027,462,533,4274,12605,7068,2641,550,140,7479,6206,2633,451,9023,2619,3025,26567,1: New South Wales
2205,4136,1024,13754,46,154,5087,13823,4829,1540,419,158,8773,5786,1725,642,6455,3079,1173,25338,1: New South Wales
2206,10659,1215,1450,8,46,490,3151,6298,3192,1093,233,3411,5885,1772,152,3065,371,1182,19730,1: New South Wales
2207,11285,4121,3120,187,65,1023,6889,8535,3896,1345,324,5011,8700,2792,291,5026,590,1685,28382,1: New South Wales
2208,7036,688,750,83,27,280,1946,4048,2040,696,126,2115,3671,1381,124,1863,216,624,12881,1: New South Wales
2209,6672,1885,2300,88,70,1120,3363,4793,2479,809,215,2791,4756,1706,212,3272,346,802,15825,1: New South Wales
2210,13381,3589,6187,150,410,2559,7232,9315,5918,1940,367,6358,9572,3675,334,7586,792,2125,33262,1: New South Wales
2211,8281,2838,902,16,55,850,2079,5397,4137,980,230,3189,5298,1689,193,3283,309,1119,17610,1: New South Wales
2212,7160,3230,710,56,41,652,1947,4872,4097,1208,164,2634,5327,1905,174,2815,317,933,17184,1: New South Wales
2213,11120,3736,708,103,45,928,1865,6686,6196,1713,257,3981,7501,2159,232,3787,327,1433,23290,1: New South Wales
2214,2504,139,6,0,10,17,50,1243,1068,282,44,704,1226,312,36,447,30,224,4074,1: New South Wales
2216,7063,1415,12245,267,161,2403,15049,6435,2346,669,241,7095,7437,2880,549,7969,2088,1340,28027,1: New South Wales
2217,7372,2360,11402,142,168,2402,14171,7335,2645,954,175,7040,8685,2810,531,7816,1406,1410,28673,1: New South Wales
2218,4324,631,6572,170,68,614,7691,4691,1390,511,130,3762,5062,1783,282,3727,774,800,16182,1: New South Wales
2219,4869,2785,2972,52,47,631,4966,4921,2023,695,142,3352,3881,1512,141,4440,300,832,13771,1: New South Wales
2220,7757,1860,12978,28,109,2912,13366,7868,3039,1717,606,8330,9498,3343,843,5662,2423,1009,33761,1: New South Wales
2221,8251,1420,1231,22,13,356,2199,4244,3306,1631,369,2749,5362,1395,159,2409,212,786,17065,1: New South Wales
2222,3755,1215,4176,6,69,642,5554,3361,1397,586,119,2858,3863,1331,244,3224,429,649,12660,1: New South Wales
2223,8656,2123,4451,84,29,654,6477,5737,3812,1460,272,4714,6704,1876,214,4683,490,1331,21403,1: New South Wales
2224,6719,2330,1168,40,49,461,2027,4870,3128,1087,226,3203,4295,1345,77,2906,196,923,14559,1: New South Wales
2225,2872,546,70,0,0,19,261,1292,1590,532,83,910,2059,302,25,478,25,315,5560,1: New South Wales
2226,6331,1514,1152,38,30,591,2184,3578,2953,859,97,2613,4235,1036,95,2224,172,997,13054,1: New South Wales
2227,6939,1874,2091,44,21,395,3345,4795,3170,979,155,3318,4943,1412,142,2909,258,1016,15364,1: New South Wales
2228,7390,2549,5883,118,128,1960,7349,6072,3194,1033,189,5234,6038,2165,239,5945,608,1519,21001,1: New South Wales
2229,12264,5237,5247,3,165,1834,7290,9923,6182,2008,398,7254,9438,2759,215,7707,633,1917,30943,1: New South Wales
2230,9787,1891,13327,161,75,4332,13053,8435,4635,1718,288,10054,7893,2704,261,10674,1317,1937,30690,1: New South Wales
2231,1521,46,3,12,8,59,181,656,496,138,51,360,711,212,15,270,30,191,2528,1: New South Wales
