,Postcode,State,Latitude,Longitude,Remoteness Area
533,2710,ACT,-35.357619,144.984378,3
534,2711,ACT,-34.257669,144.695233,3
535,2712,ACT,-35.754185,145.872814,3
536,2713,ACT,-35.586342,145.52068,2
537,2714,ACT,-35.77427101,145.2868727,3
538,2715,ACT,-33.81289825,142.6742276,3
539,2716,ACT,-35.24588,145.627125,3
540,2717,ACT,-34.08796357,142.0944482,3
541,2720,ACT,-35.379935,148.383619,3
542,2721,ACT,-34.04948,147.712064,3
543,2722,ACT,-35.053523,148.102866,3
544,2725,ACT,-34.44817,147.815806,2
545,2726,ACT,-34.78436,148.326675,3
546,2727,ACT,-34.983539,148.390372,3
547,2729,ACT,-35.227753,147.923797,2
548,2730,ACT,-35.510039,148.034012,3
549,2731,ACT,-35.893394,144.641831,3
550,2732,ACT,-35.542622,144.230168,3
551,2733,ACT,-35.013711,144.206139,3
552,2734,ACT,-34.770931,143.387009,3
553,2735,ACT,-35.129137,143.426745,2
554,2736,ACT,-34.965178,143.375822,3
555,2737,ACT,-34.574113,142.87381,3
556,2738,ACT,-34.164709,142.225122,3
557,2739,ACT,-34.15375195,142.1056955,3
558,2745,ACT,-33.871341,150.671487,3
559,2747,ACT,-33.77413222,150.7376907,2
560,2748,ACT,-33.811042,150.72319,3
561,2749,ACT,-33.702167,150.686816,2
562,2750,ACT,-33.755476,150.678551,3
563,2752,ACT,-33.936534,150.585995,3
564,2753,ACT,-33.604022,150.646053,3
565,2754,ACT,-33.557893,150.72802,2
566,2756,ACT,-33.466271,150.88744,3
567,2757,ACT,-33.554839,150.692086,2
568,2758,ACT,-33.483614,150.601824,2
569,2759,ACT,-33.82252,150.781767,2
570,2760,ACT,-33.763976,150.780073,2
571,2761,ACT,-33.742006,150.84746,2
572,2762,ACT,-33.700603,150.880097,2
573,2763,ACT,-33.725619,150.89547,2
574,2765,ACT,-33.672237,150.79576,2
575,2766,ACT,-33.810388,150.850764,2
576,2767,ACT,-33.77972161,150.8651828,2
577,2768,ACT,-33.737863,150.922732,2
578,2769,ACT,-33.7054643,150.9054927,2
579,2770,ACT,-33.756443,150.810246,2
580,2773,ACT,-33.768837,150.626788,2
581,2774,ACT,-33.732671,150.62902,2
582,2775,ACT,-33.305478,150.918639,2
