,Dwelling Type,Dwelling Type,Dwelling Type,Dwelling Type,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition
,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household
Postcode,,,,,,,,,,,,,,,,,
2234,26573,2942,375,0,13,162,857,6461,9807,2965,493,5734,10070,2253,110,2551,195
2250,52227,6709,7739,82,411,3244,16052,23333,13616,3632,971,15811,16970,7608,566,19355,2038
2251,28479,2159,1171,226,42,809,5275,9530,8373,2379,502,7972,8393,2958,162,7390,501
2256,11368,2790,617,168,110,1007,4212,6851,2395,553,144,4121,3053,2031,205,5775,505
2257,22924,3868,1326,419,174,1216,6614,12150,5411,1492,270,8013,6158,3510,289,9221,873
2258,4319,666,29,6,6,93,534,1600,1168,430,128,1128,1390,495,39,849,100
2259,57914,2914,988,302,147,1452,6806,17044,18613,3354,905,13431,14980,7278,471,11767,1418
2260,20578,1444,2564,6,73,478,2973,7323,6498,2363,466,6214,6904,2080,101,4439,603
2261,41955,5765,3611,241,193,2421,11595,18463,11046,2690,622,12477,12115,6687,460,14829,1384
2262,19442,322,313,189,33,384,2864,7261,4663,837,164,4248,4226,2840,188,4546,543
2263,19274,1723,1637,62,157,1017,6241,9104,4049,924,197,5373,4228,3481,277,7976,787
2264,13974,863,204,18,37,323,2499,5115,4041,775,157,4095,3094,1740,138,3681,417
2265,6461,374,167,13,18,235,1018,1518,2195,409,120,1694,1800,541,25,1413,154
2267,2490,102,90,24,8,154,528,1017,655,112,22,989,519,234,8,750,48
2278,2482,6,13,0,0,14,134,889,529,138,32,494,725,218,16,264,41
2280,22650,1966,1195,165,51,1356,4399,8966,6269,1403,220,6743,6396,2796,209,6470,446
2281,12783,878,825,63,43,717,3087,4728,3446,836,154,4120,3272,1628,128,3825,257
2282,13204,1702,572,14,14,326,3102,4978,4000,1084,150,4280,4066,1379,105,3662,256
2283,20920,1400,455,55,30,780,3199,9095,5257,1076,186,6440,4883,2643,173,5474,380
2284,10624,783,176,79,25,537,2161,4104,2640,434,83,2693,2746,1377,121,2912,303
2285,30366,1332,634,38,37,919,4065,10388,8633,1249,218,6513,8808,3332,266,6231,678
2286,4376,77,13,12,0,45,320,1925,896,167,38,1010,1141,452,38,669,103
2287,34276,3709,692,43,96,1163,5423,13708,9033,1747,375,7853,10105,3987,402,7825,1716
2289,17423,1272,695,23,19,479,3115,7182,4057,895,133,4193,5339,1679,218,3897,719
2290,28762,3182,1061,13,27,1319,5889,12973,6766,1427,237,7454,8451,3698,257,8165,964
2291,9895,2115,1506,0,48,954,3674,4409,2855,778,100,3590,3564,940,131,3764,933
2292,1924,303,147,20,0,190,812,1041,273,48,20,560,504,282,50,800,217
2293,1470,960,680,26,20,486,1406,1662,219,5,20,1180,578,321,51,1361,405
2294,1219,511,113,0,12,164,677,992,140,23,6,553,382,237,8,682,192
2295,7020,253,263,14,53,366,1768,2264,1953,261,23,2051,1735,659,58,2132,173
