,Dwelling Type,Dwelling Type,Dwelling Type,Dwelling Type,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition
,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household
Postcode,,,,,,,,,,,,,,,,,
3844,26411,777,1344,102,104,1016,4148,11973,7070,835,157,6910,6698,3042,213,8131,703
3847,1937,62,5,14,21,57,208,900,423,76,12,570,462,168,18,479,39
3850,12873,651,547,54,40,624,2432,5711,3667,456,72,3523,3033,1570,135,4640,366
3851,4767,90,12,29,8,144,743,1902,1187,265,51,1589,1031,292,42,1313,108
3852,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
3854,1373,7,5,0,0,10,54,487,362,72,18,355,408,70,0,175,12
3856,978,11,0,0,0,8,40,380,252,52,8,249,265,62,0,149,10
3857,344,0,0,0,0,0,16,122,76,16,6,102,80,24,0,34,6
3858,2643,6,54,11,9,57,396,1100,608,83,26,729,602,210,27,700,48
3859,830,0,0,9,0,16,82,284,209,32,12,223,206,40,8,161,20
3860,6553,0,181,19,16,212,1004,2840,1516,242,39,1896,1471,607,44,1838,113
3862,3251,0,40,20,9,70,324,1194,905,154,22,950,787,203,25,733,49
3864,204,7,0,0,0,0,30,83,40,13,0,70,50,12,0,44,0
3865,459,9,0,0,0,6,52,208,90,20,0,157,84,30,0,96,12
3869,1619,6,0,0,0,22,107,640,452,86,8,468,416,116,0,306,14
3870,1176,5,0,0,0,21,146,492,284,42,12,344,248,84,18,308,14
3871,2674,49,0,0,6,73,290,1215,612,110,20,742,615,213,12,754,32
3873,297,0,0,0,0,0,34,138,44,10,8,72,70,26,0,64,6
3874,535,4,0,12,0,22,112,238,115,30,6,195,85,42,10,181,15
3875,17049,1088,115,50,30,623,2967,7762,4177,526,136,5090,3864,1794,141,5217,460
3878,1150,31,0,16,12,23,155,492,350,43,0,522,186,95,0,282,31
3880,3504,288,27,34,9,104,930,2169,723,85,13,1752,513,284,26,1496,93
3882,1214,6,4,41,0,48,105,372,367,52,14,343,297,91,10,250,20
3885,1689,8,5,12,6,66,295,666,330,72,12,471,391,158,12,419,28
3886,359,4,0,0,8,14,45,142,72,14,0,124,68,30,0,77,6
3887,204,0,0,0,8,20,52,86,46,8,0,64,46,14,0,67,24
3888,2961,56,25,19,16,182,508,1588,507,93,18,940,542,258,24,1197,86
3889,129,0,0,4,0,15,47,59,12,6,0,61,24,6,0,71,0
3890,265,6,0,0,4,13,58,165,44,0,0,96,42,18,0,124,6
3891,86,0,0,0,0,21,12,47,8,0,0,31,18,8,0,41,0
3892,948,22,0,16,18,42,236,484,164,28,10,375,166,62,0,406,16
3893,24,0,0,0,0,0,0,10,10,0,0,16,0,0,0,0,0
3895,181,0,0,0,6,0,42,76,46,0,0,62,30,24,0,60,0
3896,307,0,8,0,0,7,56,138,64,14,0,87,66,34,0,99,0
3898,518,11,7,8,9,39,100,201,100,32,0,191,93,36,0,166,11
3900,133,0,0,0,0,14,30,65,26,0,0,66,18,10,0,60,8
3902,332,0,0,50,8,21,82,135,76,14,0,163,68,16,11,106,9
3903,721,0,0,63,11,57,85,277,198,26,0,290,172,53,0,178,9
3904,1695,19,0,5,10,48,248,848,408,34,24,800,256,102,3,429,17
3909,6836,475,59,139,29,293,1602,3456,1467,277,55,2492,1301,759,44,2708,177
3910,20124,2277,21,198,39,273,2675,8182,5737,1071,228,4556,6476,2280,157,4658,380
3911,3192,168,11,0,9,14,315,1381,654,204,70,757,900,286,12,707,29
3912,13493,1270,79,15,20,228,1588,5341,3676,757,219,3340,4119,1364,135,2831,201
3913,3068,206,10,0,0,22,251,1189,862,184,51,740,870,344,8,569,54
3915,7955,1709,99,79,21,365,2736,4348,1780,207,54,2470,2023,1425,98,3439,294
3916,901,0,0,0,0,24,64,324,276,70,26,356,182,34,6,210,10
3918,3870,174,4,4,0,44,686,1328,954,220,64,1125,1022,323,28,790,38
3919,2704,422,10,4,4,71,508,1542,502,97,25,693,782,397,31,834,61
3920,270,19,0,0,0,0,0,152,44,6,0,61,118,16,0,9,0
3921,124,0,0,0,6,0,36,50,10,6,0,42,12,0,0,38,0
3922,8207,537,156,20,30,292,1438,3974,2415,372,75,2942,1617,846,39,3102,217
3923,662,15,6,0,0,11,73,330,184,43,8,319,121,32,0,190,6
3925,3427,325,156,16,9,66,526,1820,981,147,46,1202,942,329,29,1046,88
3926,3057,53,13,0,8,26,252,1152,866,170,48,945,768,206,15,566,27
3927,1573,31,0,38,0,10,166,593,495,72,21,535,398,98,8,350,10
3928,417,5,0,0,0,4,16,132,131,44,28,137,84,22,0,99,0
3929,885,0,22,4,0,12,77,364,264,108,26,400,162,41,6,257,14
3930,16830,420,392,0,0,140,1187,4349,5271,1676,322,3910,5543,1011,33,2395,142
3931,19682,2046,1765,170,15,623,5720,10796,4885,798,110,7006,5401,2523,170,7836,416
3933,950,0,6,6,0,24,69,204,256,96,38,225,263,66,12,105,18
3934,16611,1902,29,0,0,111,1736,6679,5301,984,180,4730,5365,1395,75,3429,151
3936,10092,1565,213,186,18,207,2077,5666,2972,498,84,4146,2513,1271,94,3503,284
3937,1506,8,0,0,0,6,126,498,386,126,32,443,390,82,6,229,8
3938,2821,166,15,0,0,16,323,1436,759,146,14,1096,597,264,12,733,57
3939,13364,825,247,15,26,376,2813,6801,2786,495,102,4150,2851,1661,139,4571,346
3940,3571,807,112,42,4,201,1985,2412,480,75,7,1521,639,584,45,2440,122
3941,11696,282,12,76,19,138,1540,5659,2619,573,100,3463,2535,1155,73,3339,281
3942,2422,8,4,5,0,8,209,1148,753,142,20,1000,434,134,8,683,36
3943,1670,19,30,5,8,33,157,695,582,170,46,783,252,66,24,557,22
3944,618,22,3,3,0,0,24,172,287,137,38,356,66,22,0,227,8
3945,985,0,0,13,6,13,108,359,248,44,6,335,218,47,0,175,27
3946,273,0,0,4,0,10,23,110,80,10,0,100,68,18,0,46,0
3950,4517,221,5,16,16,100,744,2047,1076,156,19,1233,1046,449,37,1354,107
3951,930,0,0,0,0,6,60,348,250,44,6,260,258,34,0,158,0
3953,7395,113,43,25,12,209,969,3179,1804,237,42,2049,1675,688,48,1977,118
3954,343,8,0,0,0,0,20,133,114,10,12,100,85,18,0,69,0
3956,2716,32,4,3,0,89,397,1381,529,71,12,902,538,186,10,848,41
3957,293,0,0,0,0,0,10,112,82,0,0,66,82,6,0,44,0
3958,243,0,0,0,0,0,18,116,54,8,12,68,64,24,0,42,0
3959,1108,0,0,5,0,8,141,536,206,47,3,362,237,68,8,285,20
3960,2204,51,69,19,10,133,537,1125,464,84,26,862,369,151,0,985,52
3962,812,0,12,20,0,55,146,439,136,12,6,290,138,77,10,309,8
3964,161,0,0,0,0,0,26,86,22,0,0,60,24,8,0,52,8
3965,176,0,0,4,0,0,40,126,22,6,0,86,20,8,0,89,6
3966,499,0,0,0,6,8,89,222,92,8,0,140,104,40,0,152,4
3967,106,0,0,0,0,0,14,42,28,0,0,32,28,8,0,30,0
3971,3551,116,59,52,18,156,631,1815,778,139,28,1301,677,298,31,1289,85
3975,16544,751,41,0,6,63,405,2972,5573,943,68,1767,6247,973,107,907,193
3976,23233,1224,151,4,24,127,1526,9882,3859,524,98,3099,7202,2440,260,2831,550
3977,101863,9122,896,10,65,457,7497,30544,33263,3863,589,16509,34817,9930,917,13297,1872
3978,40932,930,37,0,10,31,1103,6279,16540,1842,180,5407,14790,2431,295,2910,549
3979,317,0,0,0,0,8,29,116,86,6,0,99,82,12,0,44,0
3980,3281,4,7,0,9,52,235,1110,814,150,24,663,958,242,26,480,50
3981,4857,35,197,6,11,94,423,1526,1443,204,67,1026,1371,461,40,868,68
3984,6638,28,78,62,29,201,851,2659,1719,233,38,1883,1454,607,46,1807,133
3987,1466,0,0,4,0,14,70,482,339,78,28,342,404,92,6,152,14
3988,1016,0,0,8,0,12,86,376,256,32,10,272,287,48,6,177,18
3990,111,0,0,0,0,0,12,34,26,6,0,48,24,0,0,12,0
3991,340,0,0,8,0,7,28,135,88,8,6,106,77,24,0,69,8
3992,1176,9,4,0,0,6,111,508,306,38,6,340,270,99,8,264,18
3995,10173,299,30,150,30,447,1980,4670,2267,340,74,2983,2027,1159,64,3585,291
3996,5683,349,12,0,6,128,920,2636,1647,208,37,2210,1200,349,33,1759,88
4000,1928,594,13984,23,633,7386,12221,4038,610,140,93,7484,2544,1156,433,10329,3568
4005,4029,608,11329,25,338,5236,10717,5232,1318,453,143,7381,2915,1081,302,10127,2032
4006,1460,649,19498,4,1049,13316,18186,3647,522,140,75,10769,2437,1324,543,17454,4850
4007,5960,1155,6886,8,79,3228,7993,3913,1763,954,246,5436,2991,1171,291,7459,1039
4008,218,0,6,5,0,8,62,102,32,10,0,62,39,6,6,81,14
4009,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
4010,977,121,2078,3,62,1052,2194,950,167,90,38,1378,445,266,118,1975,468
4011,9194,1333,4381,20,55,1011,6813,4126,2606,1244,249,3819,3984,1370,233,5981,848
4012,13452,2212,6722,9,115,2447,10549,7115,3177,1177,190,6193,5609,2059,431,9185,1593
4013,3105,788,766,18,0,400,1501,1754,694,243,59,1117,1221,453,94,1568,284
4014,11707,610,189,12,50,215,1051,4275,3300,670,147,2691,3561,966,190,1974,442
4017,32802,1582,1447,167,112,1387,3131,13341,8619,1780,356,7361,9940,3608,353,7463,852
4018,9248,3862,234,0,44,560,2778,6528,2742,306,58,3250,3537,1581,175,4263,457
4019,15007,1083,2779,140,170,1617,5311,8784,3031,732,155,5242,3659,2613,180,7723,723
4020,17703,1369,4835,154,229,1510,6982,9834,5436,1284,217,8245,4801,2735,223,9348,659
4021,7564,1361,104,7,13,211,1262,4465,1722,319,49,1946,1948,1330,112,2514,313
4022,5534,1318,155,0,0,129,979,2658,2357,221,34,1858,1477,946,47,2012,180
4025,90,0,0,34,0,26,25,46,8,6,3,52,8,7,0,49,0
4030,9608,734,7000,11,185,2310,9552,4234,2146,1023,246,5258,3869,1310,424,6912,2162
4031,9641,1162,2950,0,36,1095,5095,4394,2105,975,154,3370,3655,1322,255,4636,782
4032,8997,2199,5816,5,136,2085,8234,6866,1974,550,100,5240,3673,1986,450,7526,1362
4034,35115,6248,2484,225,202,1857,7120,17163,10533,2476,481,10339,11365,4636,672,11811,1719
4035,24248,2155,155,0,13,304,1129,5931,9224,2769,463,5673,8383,2023,176,3442,329
4036,6347,327,15,10,4,41,246,2802,1557,319,53,1392,1806,700,77,941,156
4037,7622,34,4,0,0,13,32,1045,2956,780,121,1395,2632,461,12,430,36
4051,19706,3117,4729,7,136,2004,8605,8513,4573,2213,390,6467,7599,2337,461,7912,1878
4053,37746,4377,3369,0,148,1637,7263,17688,10437,2542,377,10475,12427,4553,564,10419,1948
4054,12276,1008,249,0,0,106,1545,5956,3025,553,66,3060,3501,1518,124,2811,310
4055,20868,287,459,0,5,57,833,5436,6966,1673,290,4352,6864,1597,124,2166,232
4059,6802,823,4872,5,232,2923,4811,3403,1561,566,209,3147,2893,1077,304,4532,1923
4060,11004,183,1671,5,13,352,2587,3011,2543,1437,282,2260,4009,966,107,2399,550
4061,15693,924,114,0,6,43,477,5225,4784,1351,330,3252,5327,1470,84,1953,197
4064,7423,817,3209,39,152,2126,4093,3120,1796,707,186,3296,2540,731,246,4176,1366
4065,8569,589,550,3,27,304,1174,2652,2165,1007,170,1795,3115,664,94,1618,323
4066,7370,369,9226,0,132,2447,10590,4783,1864,855,204,5712,3531,1242,517,7044,2967
4067,3820,661,4857,10,19,535,4673,3223,1201,502,218,2500,2109,650,340,2755,2137
4068,13021,1772,9522,4,37,1579,10519,7391,3725,1635,375,6156,6816,2272,591,6979,2676
4069,33110,795,270,9,9,362,874,6210,10737,4522,1017,6547,11228,1980,196,3440,488
4070,11468,259,21,0,8,29,194,1633,4911,1109,220,2291,3710,911,34,1121,73
4073,8032,551,160,0,0,82,336,2160,3015,897,102,1893,2865,608,32,1127,108
4074,22170,1143,60,0,10,148,443,6857,7550,1986,331,5145,6928,1903,165,2911,389
4075,19565,2487,2372,20,23,975,4582,8253,5260,1844,292,5388,7167,2143,270,5527,924
4076,4126,422,47,0,6,51,480,2121,686,182,68,798,1086,582,87,937,200
4077,26231,6919,351,139,118,1295,2876,14656,5956,820,269,5077,8272,4859,587,6717,1232
4078,23500,1533,244,0,39,176,751,8943,7106,1146,190,4330,6964,2858,231,3721,486
4101,7257,1225,21855,28,528,11998,18808,6970,1953,678,280,11659,6656,3004,636,15382,4397
4102,4043,61,5179,0,210,2812,5168,1710,752,363,179,3048,1470,662,299,3965,2080
4103,7787,2169,4204,9,122,2200,6145,4868,1617,687,200,4001,2979,1187,330,5393,2108
4104,3838,1144,1636,0,84,839,2433,2529,987,464,100,1989,1598,518,133,2786,514
4105,9044,1814,2435,0,86,1183,4391,5351,1787,557,179,3510,3330,1173,293,4318,1068
4106,1326,57,66,0,20,180,338,595,144,45,15,277,270,130,28,528,119
4107,5845,457,98,10,22,154,586,2571,1303,348,78,1257,1724,578,103,1131,322
4108,4766,509,566,4,65,409,957,2081,1040,329,110,1310,1243,549,112,1380,480
4109,31002,3932,734,95,96,697,2302,9233,8359,3594,1324,6522,8883,3126,509,5121,2033
4110,14401,1032,168,20,7,230,704,4391,4756,768,104,2519,4509,1563,176,1990,419
4111,596,0,127,0,4,67,148,350,108,30,0,181,173,64,22,256,44
4112,7368,1144,4,0,0,9,154,1652,2605,852,152,1229,2887,571,57,597,160
4113,20213,7349,308,452,93,516,1604,11262,6660,1935,439,5699,8550,2612,425,4456,1440
4114,20539,4847,1041,5,79,878,5424,11282,2328,746,212,3395,5340,4675,451,6598,1152
4115,16797,2344,89,44,29,97,570,4578,7179,1284,143,3440,6078,1762,175,2159,433
4116,20899,5670,30,0,0,28,377,7542,8273,2403,444,4468,8865,2563,238,2586,598
4117,2508,266,0,4,0,8,19,476,1068,99,16,259,851,300,12,226,35
4118,27759,1706,278,6,12,115,915,9554,8596,1392,410,5172,8023,3429,287,3639,699
4119,5749,742,54,0,8,72,281,1811,1744,528,82,1001,2083,564,84,743,127
4120,4895,808,4019,28,121,1708,5489,2938,1001,405,108,3183,1935,764,248,4379,1357
4121,22467,744,1773,0,97,947,3492,7910,5002,2059,332,4622,7401,2038,337,4693,939
4122,35141,4646,4968,3,202,1864,7774,16712,8325,2570,561,9159,12518,4470,687,9444,2146
4123,20686,1411,152,56,38,118,1208,6579,5586,1975,327,3985,6924,1841,147,2758,460
4124,21379,705,62,0,14,115,795,4306,7025,1682,646,3769,6424,1905,143,2212,353
4125,10886,1131,18,46,25,179,1526,2364,4011,636,262,2651,3070,1116,112,1995,322
4127,21546,3353,364,107,46,617,3135,9915,5278,1269,339,5075,6236,3365,293,5508,630
4128,15051,716,499,56,18,101,1088,3958,5225,1336,260,3390,4739,1483,102,2223,280
4129,6111,264,66,0,8,53,274,2128,1727,329,62,1141,1685,793,53,822,153
4130,8302,342,38,115,9,129,237,1796,2717,911,308,1814,2561,687,39,1020,124
4131,8632,1338,613,0,43,329,1149,3837,2446,295,78,1649,2459,1615,167,2055,425
4132,22181,2581,38,0,7,356,1006,8205,5740,648,160,2733,6110,3567,292,3068,720
4133,17910,2077,422,109,22,521,3347,4634,5952,743,292,3747,4922,2467,215,4055,592
4151,9268,1417,6535,3,27,1816,9331,4734,2380,1179,227,5123,4243,1289,430,7263,1548
4152,36467,7631,1834,14,96,884,6235,16619,10705,4359,591,10574,13580,4188,566,9360,1753
4153,4012,342,0,3,0,7,94,1236,1246,418,100,810,1381,346,30,477,85
4154,10197,987,16,5,0,43,94,1872,4132,1150,210,1728,4048,824,53,791,109
4155,1411,0,19,0,0,8,23,172,313,240,131,276,409,86,6,111,14
4156,3094,239,0,0,6,12,89,359,1125,392,130,559,1176,169,9,181,42
4157,16309,2187,299,96,119,764,2255,6113,5038,1179,318,4326,4867,2143,145,4056,475
4158,2672,964,38,53,3,120,1010,1719,657,163,20,962,859,611,35,1221,117
4159,12716,991,394,0,43,257,1504,3640,4639,1127,193,3504,3746,1290,118,2674,215
4160,16372,1423,481,0,14,246,1503,4652,6309,1671,210,4498,5215,1697,157,2929,238
4161,15105,452,194,0,24,238,919,5837,4028,813,114,3307,4104,1804,141,2434,299
4163,10633,2162,2109,10,50,1171,3427,5510,4012,1200,184,4760,3275,1795,122,5478,337
4164,16884,1560,89,9,93,199,610,3397,7097,1799,274,3789,5672,1707,124,2067,272
4165,35293,1848,511,4,30,495,2898,8000,14333,2720,428,9256,10506,3089,182,5637,561
4169,4433,508,9320,46,522,3959,9082,4469,1221,453,177,6203,2226,1005,322,7868,2562
4170,17627,4559,4157,158,88,1500,7837,9803,4478,1838,309,6834,7154,2489,468,7026,2232
4171,10484,2054,3541,3,47,1038,4922,5002,3079,1409,270,4379,4807,1507,164,4365,685
4172,3545,881,327,7,22,238,696,1978,1001,296,34,1212,1282,481,81,949,272
4173,6848,1161,138,4,15,119,814,3731,1988,308,76,1891,2217,847,100,1732,288
4174,2528,192,0,6,0,28,179,919,834,104,18,546,805,259,44,391,78
4178,20715,3036,1610,8,172,1704,4255,9989,5311,1298,242,5764,6570,3065,262,6833,776
4179,16431,2181,496,164,61,509,2653,6966,4533,1312,159,4346,5512,2037,156,4121,334
4183,1560,95,122,42,16,109,440,698,360,57,26,600,321,182,7,618,71
4184,7581,0,5,37,78,508,3120,3559,642,94,24,2780,746,812,78,3369,463
4205,4314,1136,10,0,15,238,1635,2704,714,125,36,1626,992,746,68,1987,183
4207,56298,5407,1695,113,96,1591,7677,19258,18150,2508,789,12624,14967,8298,629,12859,1842
4208,22179,862,159,16,18,98,985,3167,9584,1391,314,4175,7043,2068,110,2016,384
4209,57877,11066,440,130,60,342,2211,16229,28026,2500,501,12359,20274,8928,572,6350,2178
4210,19383,2262,86,0,5,139,1913,4082,7639,1347,403,3892,6717,2110,132,2473,409
4211,45694,10532,2777,578,203,1916,6434,22264,15016,3071,859,13487,16401,7205,555,11371,1993
4212,24409,4151,2381,217,117,369,4215,10291,9037,2407,411,9579,8516,2767,245,5352,842
4213,26467,2752,186,56,68,260,1299,7559,8279,2420,910,5327,8886,2877,195,3176,601
4214,30783,4375,1077,5,57,707,3544,11598,10176,2217,531,7801,9536,3934,332,6134,1503
4215,14041,15026,19498,134,451,10002,29431,19130,3911,954,330,16771,9173,8023,1118,24519,5859
4216,18230,9977,8087,325,178,2179,14097,17486,6839,1483,308,14426,7842,4750,462,14140,1885
4217,13374,4957,20652,151,646,9428,20990,10733,5617,1718,398,16217,8041,4045,571,17861,3861
4218,16806,4777,10504,137,115,3252,15795,9008,5859,1707,338,11233,7136,3503,454,11329,3106
4220,18006,6163,5888,54,132,1515,11547,10877,5662,1178,231,8961,7557,3350,331,9119,2382
4221,17807,4489,4738,55,212,1456,7892,9648,5753,1188,292,7197,7050,3195,248,7585,1639
4223,10869,2323,1078,3,72,463,2867,5197,2948,783,195,3427,3876,1572,133,3214,507
4224,3472,1827,1174,19,17,229,2461,2819,958,209,23,1753,1810,828,73,1911,408
4225,1532,517,5087,110,74,1274,6114,2258,571,127,52,3647,1221,830,94,4037,837
4226,21145,10494,2935,0,211,1372,4548,16503,8353,1636,307,9507,9671,4601,317,7624,1632
4227,13123,6527,2860,0,121,1206,4381,9258,4984,959,179,5129,6682,3217,284,4811,1206
4228,4949,104,39,10,6,74,271,801,1238,550,294,943,1513,305,21,385,82
4270,4109,0,4,0,14,39,162,818,1093,351,192,809,1189,281,22,322,72
4272,7191,208,34,61,11,160,985,2912,1527,440,112,2263,1749,619,38,1410,173
4275,3384,28,23,25,11,81,230,888,925,194,100,814,965,223,16,420,63
4280,19620,107,109,19,18,95,472,2878,6780,1557,664,3284,5814,1702,93,1493,277
4285,18972,1162,34,115,115,548,1827,5342,5977,1312,428,4692,4902,2097,164,3668,351
4287,624,0,0,26,9,42,82,240,151,32,8,208,124,46,8,172,14
4300,61021,4034,271,103,40,835,2845,14940,23509,2787,462,9993,19220,6916,511,8136,1415
4301,31085,3176,264,3,24,1109,1715,8638,11595,748,157,4725,8397,4804,355,5276,898
4303,3187,288,68,0,0,72,358,2057,393,64,20,713,624,599,82,851,168
4304,14780,1503,426,17,35,903,2742,7594,2867,487,119,3332,3351,2528,282,4890,586
4305,54621,4284,887,85,193,2752,7013,23137,14892,1947,421,11877,13128,8582,660,15232,1707
4306,39801,574,164,216,73,478,1276,7870,15411,2752,689,8275,11981,3246,217,4662,636
4307,1465,13,0,0,10,24,112,463,323,106,16,398,370,111,8,168,32
4309,3024,3,4,48,14,99,261,1048,784,149,20,897,727,220,6,537,50
4310,5304,129,3,64,32,152,807,2072,1262,240,72,1774,1168,420,21,1257,94
4311,9486,164,14,42,37,187,785,2791,2838,426,142,2291,2099,1061,80,1589,234
4312,2307,25,0,67,15,124,412,1041,464,76,46,930,359,185,20,685,84
4313,2119,26,10,9,0,48,395,830,474,72,38,643,394,212,14,572,68
4314,2864,13,0,49,41,166,590,1247,514,64,35,1017,424,252,21,923,98
4340,5114,160,9,3,20,215,464,1901,1294,206,62,1324,1128,614,42,1019,140
4341,14587,223,4,45,34,178,1049,4038,4731,805,266,3453,3396,1553,128,2504,414
4342,2462,21,11,6,14,21,227,852,558,160,36,564,490,253,10,438,132
4343,9540,802,295,151,32,201,1136,3618,2901,485,160,2483,2332,1033,130,2114,637
4344,2364,53,0,5,12,30,218,686,688,116,37,586,585,218,17,377,53
4346,941,0,0,9,0,19,88,344,232,36,10,242,238,80,10,176,18
4347,1193,11,0,0,0,12,93,416,322,68,21,304,256,107,10,229,40
4350,88186,13324,3952,167,240,3620,22381,41022,25305,4435,855,26336,22918,12078,1246,33052,3690
4352,28696,424,48,43,69,266,1069,5680,10840,2265,516,7252,8482,1612,130,3126,287
4353,307,0,0,0,0,10,20,104,74,8,12,66,104,10,0,54,0
4354,1158,9,3,5,0,25,125,452,232,48,16,323,240,102,14,216,16
4355,2337,45,5,39,21,111,365,1129,466,78,18,840,391,224,42,715,53
4356,4400,123,4,47,9,80,473,1517,1227,189,60,1152,1142,366,31,905,52
4357,2080,31,3,65,32,160,365,734,446,63,30,648,422,158,16,589,72
4358,2607,121,4,11,8,132,143,941,735,108,54,629,720,242,6,427,80
4359,1225,8,0,3,0,29,86,479,251,71,18,358,315,66,6,191,30
4360,512,0,0,6,8,12,63,178,120,32,0,136,122,52,0,100,0
4361,2369,34,12,14,11,84,326,985,563,84,24,737,480,223,28,631,60
4362,2322,23,0,9,24,82,355,852,491,120,29,732,493,188,6,558,33
4363,547,0,0,4,0,20,46,174,118,23,8,122,138,40,12,68,14
4364,153,0,0,4,0,3,24,44,44,6,0,37,34,20,0,30,0
4365,517,0,0,8,4,46,110,192,62,12,6,173,72,56,12,151,10
4370,16197,967,163,102,67,444,2915,6269,4551,798,173,4764,3471,1940,136,4903,390
4371,633,0,0,5,0,12,87,248,164,28,10,212,138,36,6,139,8
4372,130,0,0,0,0,0,22,66,28,0,0,40,26,6,0,32,0
4373,825,11,0,11,6,36,169,346,162,22,6,298,135,69,6,253,18
4374,357,0,0,3,9,20,62,116,78,14,8,123,54,34,0,102,10
4375,191,0,0,0,0,0,33,56,60,0,0,57,38,12,0,44,0
4376,272,0,0,11,4,27,53,107,50,12,8,82,46,19,12,96,11
4377,518,10,0,8,0,17,68,204,120,21,6,190,120,26,0,94,0
4378,535,0,0,0,0,6,42,164,113,34,18,163,116,36,0,60,12
4380,6801,285,64,51,41,262,1266,2825,1775,274,75,2246,1375,610,51,2243,139
4381,567,9,0,13,7,34,62,216,129,34,6,192,111,42,0,130,6
4382,420,0,0,0,0,18,58,173,79,18,22,165,91,22,0,95,12
4383,534,4,0,0,10,32,102,274,102,22,0,192,66,66,12,192,20
4384,45,0,0,0,0,0,6,10,6,10,0,8,18,0,0,12,0
4385,1015,20,6,9,4,31,240,459,174,40,12,323,200,76,6,361,28
4387,1142,16,13,14,13,55,172,524,233,47,16,333,215,146,8,376,23
4388,313,0,0,0,0,26,68,136,36,18,6,92,64,36,0,76,14
4390,5407,336,97,46,9,122,825,1917,1659,283,85,1399,1459,503,44,1407,179
4400,2029,0,0,7,0,4,68,667,579,96,10,474,545,158,12,242,26
4401,5033,184,0,19,17,82,553,1986,1285,164,62,1194,1102,657,40,1149,114
4402,243,0,0,3,0,15,46,104,34,6,0,86,32,20,0,69,6
4403,746,0,0,8,0,19,75,246,172,24,10,169,186,44,0,141,16
4404,396,0,0,3,0,8,22,118,130,44,14,116,110,12,0,74,6
4405,12446,517,13,52,48,310,1454,4338,3467,644,134,2897,3046,1330,133,2849,308
4406,1453,38,5,4,5,42,141,401,362,146,42,406,401,96,6,264,22
4407,419,4,0,10,12,7,38,187,110,16,0,124,104,34,0,110,6
4408,466,15,0,5,0,13,92,193,108,10,0,142,91,44,0,144,14
4410,968,5,0,37,6,33,176,408,182,42,15,311,205,76,20,303,10
4411,249,0,0,0,0,17,24,88,58,20,0,65,56,24,0,38,8
4412,161,0,0,0,0,15,16,46,48,10,0,38,40,8,0,46,0
4413,6636,624,99,33,21,109,761,2625,2206,289,54,1728,1771,706,48,1742,200
4415,1567,199,17,21,5,127,231,648,536,106,24,483,364,185,32,589,49
4416,348,0,0,9,0,0,36,138,88,0,11,90,85,18,0,76,9
4417,585,11,9,9,0,46,87,237,106,22,6,158,154,45,0,176,6
4418,74,0,0,0,0,0,10,24,23,6,0,34,17,10,0,18,0
4419,709,20,28,3,4,24,114,283,200,54,16,240,158,47,6,221,19
4420,1011,7,9,11,14,15,130,372,211,32,22,286,267,46,6,220,20
4421,1767,37,10,37,71,194,358,660,283,54,34,449,274,218,30,624,114
4422,348,0,0,6,4,17,36,138,98,22,6,108,98,8,0,104,0
4423,173,0,0,0,0,6,16,54,32,6,8,30,46,8,0,45,0
4424,208,6,0,0,0,0,24,54,59,17,0,40,58,13,0,38,0
4425,154,0,0,0,0,10,14,64,44,6,0,52,32,22,0,46,0
4426,101,0,0,0,0,0,18,42,30,0,0,30,28,18,0,36,8
4427,231,0,0,16,0,3,51,72,58,10,0,77,40,24,6,50,6
4428,530,8,0,0,0,22,67,199,133,18,16,166,140,23,0,107,0
4454,518,0,0,8,10,8,64,210,119,30,6,160,121,44,0,128,10
4455,7012,379,27,37,22,157,956,2649,1968,392,112,1679,1888,642,59,1928,211
4461,33,4,0,0,0,0,0,14,14,6,0,14,6,0,0,6,0
4462,108,0,0,5,0,0,18,38,30,12,10,36,20,0,0,35,6
4465,1013,14,0,29,5,32,168,418,181,68,39,267,245,75,8,307,33
4467,130,0,0,0,0,0,13,46,18,8,6,42,34,0,0,28,0
4468,211,4,0,6,0,0,28,95,44,18,6,76,52,12,0,64,0
4470,2520,43,63,33,8,155,489,1182,543,82,26,723,532,249,16,932,65
4472,1206,0,4,20,8,58,213,513,218,59,30,416,245,92,0,386,8
4474,63,0,0,0,0,8,14,6,8,5,10,18,22,0,0,8,0
4477,445,0,0,8,3,10,74,170,107,20,10,116,100,42,0,127,7
4478,437,0,4,4,0,16,60,174,82,27,6,127,102,26,0,98,20
4479,3,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0
4480,498,0,16,18,0,25,114,208,112,25,17,141,143,30,0,201,6
4481,82,0,0,7,0,11,18,37,4,6,0,24,10,13,0,35,6
4482,68,0,0,3,0,9,8,32,8,0,0,28,16,3,0,22,0
4486,416,155,3,14,10,27,93,228,112,33,28,167,143,49,8,216,17
4487,2649,92,30,40,18,70,380,1039,632,148,48,672,645,268,31,721,53
